Name,Unit,Start_time,Time_increment,Length
General_Fz,N,1904/1/1 8:00:00,1.000000E-3,30000
General_COPx,mm,1904/1/1 8:00:00,1.000000E-3,30000
General_COPy,mm,1904/1/1 8:00:00,1.000000E-3,30000

General_Fz,General_COPx,General_COPy
7.989535E+2,-3.158358E+1,-3.903481E+1
8.002442E+2,-3.142943E+1,-3.878835E+1
7.991149E+2,-3.204351E+1,-3.854866E+1
7.981490E+2,-3.156332E+1,-3.850883E+1
8.002437E+2,-3.184099E+1,-3.871978E+1
8.000822E+2,-3.191597E+1,-3.884090E+1
8.010483E+2,-3.250687E+1,-3.862429E+1
8.012104E+2,-3.202122E+1,-3.866069E+1
8.000812E+2,-3.192108E+1,-3.891304E+1
8.008885E+2,-3.182290E+1,-3.866249E+1
7.999214E+2,-3.175676E+1,-3.863467E+1
8.005644E+2,-3.204691E+1,-3.893569E+1
8.015330E+2,-3.179314E+1,-3.880424E+1
8.013714E+2,-3.185987E+1,-3.893697E+1
8.010504E+2,-3.176614E+1,-3.854378E+1
8.010488E+2,-3.209004E+1,-3.879146E+1
8.007253E+2,-3.210085E+1,-3.906082E+1
8.008885E+2,-3.171618E+1,-3.876098E+1
8.010476E+2,-3.199101E+1,-3.919825E+1
8.021782E+2,-3.167066E+1,-3.877881E+1
8.008877E+2,-3.162141E+1,-3.918005E+1
8.020161E+2,-3.215582E+1,-3.883903E+1
8.013709E+2,-3.209093E+1,-3.894690E+1
8.005642E+2,-3.215786E+1,-3.902651E+1
8.016933E+2,-3.185871E+1,-3.909613E+1
8.021774E+2,-3.178515E+1,-3.903226E+1
8.015317E+2,-3.214042E+1,-3.899303E+1
8.005646E+2,-3.176020E+1,-3.912080E+1
8.013721E+2,-3.145672E+1,-3.895267E+1
8.016930E+2,-3.208756E+1,-3.901751E+1
8.002418E+2,-3.198702E+1,-3.920969E+1
8.016931E+2,-3.199100E+1,-3.910017E+1
8.004036E+2,-3.182719E+1,-3.908263E+1
8.015327E+2,-3.161970E+1,-3.924103E+1
8.028234E+2,-3.168679E+1,-3.884411E+1
8.020142E+2,-3.218677E+1,-3.924699E+1
8.012095E+2,-3.216945E+1,-3.900502E+1
8.018538E+2,-3.216120E+1,-3.922500E+1
8.010483E+2,-3.161777E+1,-3.938545E+1
8.033060E+2,-3.152228E+1,-3.920174E+1
8.010476E+2,-3.214923E+1,-3.922826E+1
8.007266E+2,-3.162860E+1,-3.915158E+1
8.013697E+2,-3.201357E+1,-3.938333E+1
8.021758E+2,-3.204916E+1,-3.929529E+1
8.015320E+2,-3.227692E+1,-3.891676E+1
8.018550E+2,-3.185138E+1,-3.906201E+1
8.028226E+2,-3.171622E+1,-3.909323E+1
8.036289E+2,-3.171646E+1,-3.893714E+1
8.007261E+2,-3.175270E+1,-3.907854E+1
8.016940E+2,-3.150919E+1,-3.919653E+1
8.034668E+2,-3.190316E+1,-3.914593E+1
8.016920E+2,-3.212275E+1,-3.928276E+1
8.034681E+2,-3.158814E+1,-3.897940E+1
8.039512E+2,-3.172504E+1,-3.891928E+1
8.042758E+2,-3.129968E+1,-3.872577E+1
8.031437E+2,-3.182150E+1,-3.950121E+1
8.045958E+2,-3.180974E+1,-3.896436E+1
8.047576E+2,-3.154678E+1,-3.899868E+1
8.049186E+2,-3.169487E+1,-3.903305E+1
8.047578E+2,-3.175310E+1,-3.873223E+1
8.065308E+2,-3.175055E+1,-3.895454E+1
8.062076E+2,-3.207343E+1,-3.888214E+1
8.055643E+2,-3.157891E+1,-3.883343E+1
8.060472E+2,-3.161563E+1,-3.901413E+1
8.071755E+2,-3.183490E+1,-3.890955E+1
8.079833E+2,-3.133969E+1,-3.873884E+1
8.083041E+2,-3.175764E+1,-3.890265E+1
8.089480E+2,-3.183779E+1,-3.919663E+1
8.074984E+2,-3.182987E+1,-3.879823E+1
8.099156E+2,-3.158877E+1,-3.941259E+1
8.108848E+2,-3.197623E+1,-3.844240E+1
8.092713E+2,-3.152584E+1,-3.916131E+1
8.095934E+2,-3.182619E+1,-3.917143E+1
8.100771E+2,-3.132934E+1,-3.950066E+1
8.103990E+2,-3.193770E+1,-3.915239E+1
8.100771E+2,-3.132934E+1,-3.950066E+1
8.103990E+2,-3.193770E+1,-3.915239E+1
8.113680E+2,-3.129469E+1,-3.910746E+1
8.131404E+2,-3.167807E+1,-3.897589E+1
8.121736E+2,-3.131276E+1,-3.910596E+1
8.128178E+2,-3.149424E+1,-3.923965E+1
8.108835E+2,-3.146658E+1,-3.916078E+1
8.137856E+2,-3.136121E+1,-3.918692E+1
8.121733E+2,-3.141996E+1,-3.918167E+1
8.141051E+2,-3.196849E+1,-3.957155E+1
8.142681E+2,-3.160772E+1,-3.935392E+1
8.132990E+2,-3.195688E+1,-3.974202E+1
8.136227E+2,-3.143633E+1,-3.963695E+1
8.137825E+2,-3.230998E+1,-3.942093E+1
8.141053E+2,-3.177224E+1,-3.973029E+1
8.131397E+2,-3.141181E+1,-3.961348E+1
8.145886E+2,-3.150930E+1,-3.999367E+1
8.136229E+2,-3.165819E+1,-3.946861E+1
8.136214E+2,-3.186407E+1,-3.972015E+1
8.147498E+2,-3.186706E+1,-3.971417E+1
8.137815E+2,-3.201624E+1,-3.999973E+1
8.144263E+2,-3.240073E+1,-3.970670E+1
8.145881E+2,-3.194635E+1,-3.983125E+1
8.145868E+2,-3.214454E+1,-4.016009E+1
8.147484E+2,-3.220921E+1,-4.003727E+1
8.149094E+2,-3.256098E+1,-3.980971E+1
8.141027E+2,-3.232989E+1,-4.014829E+1
8.145870E+2,-3.247102E+1,-3.992831E+1
8.157157E+2,-3.227156E+1,-3.999543E+1
8.157153E+2,-3.237643E+1,-4.006494E+1
8.152322E+2,-3.224734E+1,-4.006293E+1
8.150698E+2,-3.230879E+1,-4.028039E+1
8.163624E+2,-3.195119E+1,-3.962986E+1
8.161998E+2,-3.201461E+1,-4.001495E+1
8.147483E+2,-3.212754E+1,-4.021730E+1
8.141024E+2,-3.215498E+1,-4.049498E+1
8.145853E+2,-3.238718E+1,-4.050643E+1
8.153923E+2,-3.242584E+1,-4.018907E+1
8.160347E+2,-3.270236E+1,-4.073237E+1
8.147455E+2,-3.266159E+1,-4.071423E+1
8.161957E+2,-3.307511E+1,-4.060579E+1
8.150680E+2,-3.255485E+1,-4.062040E+1
8.144236E+2,-3.278913E+1,-4.040546E+1
8.152294E+2,-3.239404E+1,-4.066169E+1
8.150683E+2,-3.257068E+1,-4.062847E+1
8.170027E+2,-3.289385E+1,-4.036587E+1
8.163577E+2,-3.262552E+1,-4.072026E+1
8.158723E+2,-3.290373E+1,-4.104278E+1
8.168400E+2,-3.316868E+1,-4.067590E+1
8.170006E+2,-3.333167E+1,-4.077472E+1
8.176465E+2,-3.299926E+1,-4.065949E+1
8.178065E+2,-3.324924E+1,-4.094342E+1
8.171633E+2,-3.295994E+1,-4.056326E+1
8.168400E+2,-3.320372E+1,-4.074538E+1
8.176443E+2,-3.321616E+1,-4.133614E+1
8.179670E+2,-3.352398E+1,-4.089967E+1
8.176460E+2,-3.282115E+1,-4.099289E+1
8.190962E+2,-3.292592E+1,-4.121724E+1
8.192576E+2,-3.306909E+1,-4.099653E+1
8.184489E+2,-3.347552E+1,-4.141116E+1
8.189345E+2,-3.288881E+1,-4.132993E+1
8.179661E+2,-3.323944E+1,-4.147354E+1
8.208693E+2,-3.304221E+1,-4.123418E+1
8.215135E+2,-3.320473E+1,-4.118990E+1
8.192549E+2,-3.351685E+1,-4.148080E+1
8.218370E+2,-3.300501E+1,-4.111076E+1
8.223204E+2,-3.293265E+1,-4.128091E+1
8.229627E+2,-3.321595E+1,-4.181476E+1
8.228029E+2,-3.317136E+1,-4.129347E+1
8.257053E+2,-3.317495E+1,-4.122802E+1
8.245750E+2,-3.378967E+1,-4.131416E+1
8.242540E+2,-3.339974E+1,-4.117952E+1
8.248984E+2,-3.347344E+1,-4.129809E+1
