Name,Unit,Start_time,Time_increment,Length
General_Fz,N,1904/1/1 8:00:00,1.000000E-3,30000
General_COPx,mm,1904/1/1 8:00:00,1.000000E-3,30000
General_COPy,mm,1904/1/1 8:00:00,1.000000E-3,30000

General_Fz,General_COPx,General_COPy
8.033939E+2,-9.168738E+1,-1.435450E+1
8.029084E+2,-9.232335E+1,-1.450564E+1
8.051656E+2,-9.175320E+1,-1.478312E+1
8.040377E+2,-9.213142E+1,-1.434480E+1
8.048435E+2,-9.210040E+1,-1.430760E+1
8.040391E+2,-9.204092E+1,-1.401980E+1
8.038766E+2,-9.211163E+1,-1.439589E+1
8.051678E+2,-9.196951E+1,-1.396181E+1
8.062950E+2,-9.229092E+1,-1.406396E+1
8.056510E+2,-9.184859E+1,-1.425169E+1
8.051667E+2,-9.164892E+1,-1.446836E+1
8.050041E+2,-9.254324E+1,-1.425297E+1
8.051656E+2,-9.237822E+1,-1.430204E+1
8.074240E+2,-9.201714E+1,-1.400975E+1
8.079075E+2,-9.221979E+1,-1.394375E+1
8.054877E+2,-9.234122E+1,-1.447041E+1
8.074231E+2,-9.273706E+1,-1.393020E+1
8.070998E+2,-9.255616E+1,-1.417738E+1
8.056497E+2,-9.258314E+1,-1.409127E+1
8.072606E+2,-9.280939E+1,-1.422256E+1
8.074222E+2,-9.263095E+1,-1.416979E+1
8.070991E+2,-9.276212E+1,-1.426726E+1
8.083909E+2,-9.220843E+1,-1.398894E+1
8.075849E+2,-9.256451E+1,-1.379751E+1
8.087123E+2,-9.290162E+1,-1.383153E+1
8.085532E+2,-9.246133E+1,-1.353148E+1
8.088730E+2,-9.273912E+1,-1.402812E+1
8.085501E+2,-9.286258E+1,-1.419565E+1
8.079049E+2,-9.305275E+1,-1.428529E+1
8.077446E+2,-9.280370E+1,-1.409019E+1
8.088745E+2,-9.293700E+1,-1.353381E+1
8.085507E+2,-9.317575E+1,-1.378464E+1
8.088739E+2,-9.304870E+1,-1.369555E+1
8.095169E+2,-9.317120E+1,-1.393880E+1
8.093568E+2,-9.303644E+1,-1.374434E+1
8.090347E+2,-9.318134E+1,-1.357078E+1
8.096805E+2,-9.290202E+1,-1.356407E+1
8.091952E+2,-9.342988E+1,-1.370156E+1
8.111290E+2,-9.341141E+1,-1.390724E+1
8.111304E+2,-9.340519E+1,-1.334006E+1
